# Live 12 Suite stock Drum Buss presets — extracted from Core Library/*.adv (gzipped XML).
# Validation fixtures for the fidelity campaign. NEVER fit to these.
preset	EnableCompression	DriveAmount	DriveType	CrunchAmount	DampingFrequency	TransientShaping	BoomAmount	BoomFrequency	BoomDecay	DryWet
Bonzo on the Dials	true	0.3888888955	1	0.5	20000	0	0	48.9994278	1	1
Boom in A	false	0	0	0	20000	0	0.4499999881	55	1	1
Boom in C	false	0	0	0	20000	0	0.4499999881	65.4063187	1	1
Boom in D	false	0.200000003	0	0.190476194	6021.77783	-0.206349194	0.7857142687	36.7078094	0.8359375	1
Boom in E	false	0	0	0	20000	0	0.4499999881	41.203186	1	1
Boom in G	false	0	0	0	20000	0	0.4499999881	48.9994278	1	1
Compression Gate	true	0.4523809552	2	0	20000	-0.4539682865	0	48.9994278	1	1
Crisp Boom in C	true	0.8253968358	1	0.9206349254	15823.8408	-0.6666666865	0.8253968358	64.6173019	0.6484375	1
Crisp Comp in G	true	0	1	0	20000	1	0.1825396866	48.9994278	1	1
Drum Pumper	true	0	0	0.5	20000	0.7460317612	0	48.9994278	1	1
Drum Sharpener	false	0	0	0	20000	0.5238095522	0	50	1	1
Drum Softener	false	0	0	0	20000	-0.571428597	0	50	1	1
Fat & Ruff in E	false	0.6984127164	2	0	9200	0.3809523582	0.6349206567	41.203186	1	1
Full Boom in E	true	0.6031746268	2	0.5317460299	8810.82715	0.4920635223	1	41.0621452	1	1
Instant Mayhem	true	0.6600000262	2	0.6600000262	5356.31006	0.65625	0	50	1	1
Muffled Crunch in E	false	0.5634920597	0	1	970.152832	0.4761904478	0.5238095522	41.203186	0.8828125	1
Punch Bass in G	false	0	2	0	20000	0.6349205971	0.7857142687	48.9994278	0.9153125286	1
Punch Boom in A	true	0.5873016119	2	0.4444444478	6021.77783	0.777777791	0.5238095522	65.1831665	0.8515625	1
Punchy Driven 	true	0.4126984179	2	0.380952388	9072.59277	-0.7142857313	0.3412698507	65.4063187	0.109375	1
Squeeze & Drive in G	true	0.7578125	2	0.4444444478	9200	0.555555582	0.8333333135	48.9994278	0.140625	1
Transient Shaping Enhance	true	0.5	0	0.2380952388	13669.041	0.2063492537	0.1587301642	74.2909012	0.2890625	1
Transient Shift Decay	true	0.09523809701	1	0	8810.82715	0.6984126568	0.190476194	82.4063721	0.9296875	1
